trade_date,000001.SZ,000002.SZ
20160104,11.33,
20160105,11.4,
20160106,11.53,
20160107,10.94,
20160108,11.12,
20160111,10.76,
20160112,10.81,
20160113,10.71,
20160114,10.77,
20160115,10.46,
20160118,10.41,
20160119,10.71,
20160120,10.54,
20160121,10.32,
20160122,10.4,
20160125,10.37,
20160126,9.87,
20160127,9.88,
20160128,9.69,
20160129,10.0,
20160201,9.8,
20160202,9.95,
20160203,9.85,
20160204,9.95,
20160205,9.92,
20160215,9.79,
20160216,10.01,
20160217,10.15,
20160218,10.09,
20160219,10.04,
20160222,10.29,
20160223,10.12,
20160224,10.15,
20160225,9.67,
20160226,9.79,
20160229,9.56,
20160301,9.7,
20160302,10.1,
20160303,10.11,
20160304,10.4,
20160307,10.34,
20160308,10.28,
20160309,10.17,
20160310,10.15,
20160311,10.16,
20160314,10.26,
20160315,10.32,
20160316,10.35,
20160317,10.42,
20160318,10.54,
20160321,10.8,
20160322,10.72,
20160323,10.7,
20160324,10.52,
20160325,10.59,
20160328,10.48,
20160329,10.43,
20160330,10.7,
20160331,10.64,
20160401,10.66,
20160405,10.7,
20160406,10.72,
20160407,10.59,
20160408,10.57,
20160411,10.72,
20160412,10.67,
20160413,10.81,
20160414,10.84,
20160415,10.88,
20160418,10.73,
20160419,10.77,
20160420,10.52,
20160421,10.51,
20160422,10.55,
20160425,10.5,
20160426,10.59,
20160427,10.57,
20160428,10.66,
20160429,10.57,
20160503,10.68,
20160504,10.72,
20160505,10.72,
20160506,10.52,
20160509,10.35,
20160510,10.28,
20160511,10.37,
20160512,10.38,
20160513,10.35,
20160516,10.36,
20160517,10.3,
20160518,10.3,
20160519,10.25,
20160520,10.3,
20160523,10.28,
20160524,10.21,
20160525,10.23,
20160526,10.22,
20160527,10.27,
20160530,10.28,
20160531,10.55,
20160601,10.48,
20160602,10.46,
20160603,10.5,
20160606,10.51,
20160607,10.52,
20160608,10.5,
20160613,10.33,
20160614,10.4,
20160615,10.44,
20160616,8.57,
20160617,8.58,
20160620,8.6,
20160621,8.61,
20160622,8.73,
20160623,8.66,
20160624,8.57,
20160627,8.61,
20160628,8.63,
20160629,8.69,
20160630,8.7,
20160701,8.71,
20160704,8.81,21.99
20160705,8.81,19.79
20160706,8.79,19.8
20160707,8.78,18.82
20160708,8.74,18.75
20160711,8.75,18.27
20160712,8.88,18.12
20160713,8.99,18.32
20160714,8.94,17.96
20160715,8.99,17.89
20160718,9.04,17.43
20160719,8.97,17.11
20160720,8.96,17.08
20160721,8.99,17.02
20160722,8.94,17.39
20160725,8.98,17.7
20160726,9.11,17.78
20160727,9.01,17.42
20160728,9.08,17.92
20160729,9.2,17.14
20160801,9.28,17.17
20160802,9.25,17.61
20160803,9.18,17.88
20160804,8.99,19.67
20160805,9.04,20.95
20160808,9.11,21.87
20160809,9.15,21.97
20160810,9.14,21.2
20160811,9.22,20.71
20160812,9.5,22.78
20160815,9.68,25.06
20160816,9.52,27.57
20160817,9.55,25.85
20160818,9.5,25.58
20160819,9.51,24.59
20160822,9.4,24.7
20160823,9.4,24.7
20160824,9.43,23.99
20160825,9.44,23.54
20160826,9.45,22.89
20160829,9.42,22.91
20160830,9.47,22.66
20160831,9.49,24.93
20160901,9.45,23.44
20160902,9.45,23.77
20160905,9.42,23.44
20160906,9.41,23.32
20160907,9.4,23.27
20160908,9.4,23.62
20160909,9.38,23.17
20160912,9.16,23.5
20160913,9.19,23.58
20160914,9.06,23.58
20160919,9.12,23.63
20160920,9.08,23.62
20160921,9.08,24.62
20160922,9.16,27.0
20160923,9.15,25.48
20160926,9.04,24.68
20160927,9.06,25.14
20160928,9.05,25.8
20160929,9.06,25.99
20160930,9.07,26.17
20161010,9.12,25.97
20161011,9.15,26.23
20161012,9.13,26.6
20161013,9.07,26.81
20161014,9.09,26.84
20161017,9.05,26.0
20161018,9.09,26.0
20161019,9.08,25.83
20161020,9.07,25.94
20161021,9.13,25.25
20161024,9.24,25.24
20161025,9.21,25.01
20161026,9.15,25.17
20161027,9.16,24.77
20161028,9.17,24.75
20161031,9.15,24.92
20161101,9.14,25.79
20161102,9.07,24.9
20161103,9.13,24.87
20161104,9.11,24.59
20161107,9.12,24.16
20161108,9.15,24.22
20161109,9.07,26.3
20161110,9.14,26.56
20161111,9.18,25.99
20161114,9.22,25.7
20161115,9.23,26.94
20161116,9.23,26.68
20161117,9.21,27.0
20161118,9.18,27.72
20161121,9.24,27.4
20161122,9.36,27.3
20161123,9.45,27.22
20161124,9.47,26.93
20161125,9.62,27.2
20161128,9.63,26.38
20161129,9.62,26.16
20161130,9.55,26.98
20161201,9.6,26.97
20161202,9.55,26.45
20161205,9.46,25.5
20161206,9.49,25.38
20161207,9.48,25.14
20161208,9.52,24.74
20161209,9.65,24.81
20161212,9.5,23.26
20161213,9.42,23.06
20161214,9.4,22.29
20161215,9.25,22.33
20161216,9.25,22.46
20161219,9.2,21.1
20161220,9.11,20.33
20161221,9.16,20.48
20161222,9.14,20.61
20161223,9.08,20.3
20161226,9.12,20.65
20161227,9.08,21.42
20161228,9.06,21.2
20161229,9.08,20.84
20161230,9.1,20.55
20170103,9.16,20.73
20170104,9.16,20.85
20170105,9.17,20.93
20170106,9.13,20.64
20170109,9.15,20.66
20170110,9.15,20.58
20170111,9.14,20.4
20170112,9.15,
20170113,9.16,21.81
20170116,9.14,21.0
20170117,9.15,20.8
20170118,9.17,20.92
20170119,9.18,20.6
20170120,9.22,20.68
20170123,9.22,20.74
20170124,9.27,20.69
20170125,9.26,20.61
20170126,9.33,20.68
20170203,9.26,20.68
20170206,9.31,20.71
20170207,9.3,20.64
20170208,9.3,20.69
20170209,9.31,20.8
20170210,9.33,20.66
20170213,9.41,20.77
20170214,9.4,20.91
20170215,9.45,20.67
20170216,9.46,20.68
20170217,9.39,20.54
20170220,9.56,20.61
20170221,9.57,20.98
20170222,9.57,20.9
20170223,9.51,20.79
20170224,9.5,20.72
20170227,9.43,20.52
20170228,9.48,20.53
20170301,9.49,20.5
20170302,9.43,20.34
20170303,9.4,20.2
20170306,9.45,20.22
20170307,9.45,20.26
20170308,9.42,20.72
20170309,9.38,20.51
20170310,9.4,20.6
20170313,9.44,20.71
20170314,9.44,21.57
