trade_date,000001.SZ,000002.SZ,000060.SZ,000503.SZ,002241.SZ
20160104,11.33,,12.63,30.39,31.38
20160105,11.4,,12.17,28.72,31.9
20160106,11.53,,13.08,29.18,32.4
20160107,10.94,,11.78,26.26,29.16
20160108,11.12,,12.6,25.7,28.89
20160111,10.76,,11.49,23.13,26.6
20160112,10.81,,11.25,23.5,26.85
20160113,10.71,,10.66,24.5,26.4
20160114,10.77,,11.1,26.95,27.49
20160115,10.46,,10.11,25.57,26.35
20160118,10.41,,10.14,26.8,27.95
20160119,10.71,,10.66,27.25,28.74
20160120,10.54,,10.49,26.61,27.7
20160121,10.32,,10.01,24.56,26.6
20160122,10.4,,10.34,25.1,27.69
20160125,10.37,,10.61,24.86,28.9
20160126,9.87,,9.55,22.37,27.54
20160127,9.88,,9.46,,27.8
20160128,9.69,,8.64,,26.89
20160129,10.0,,9.05,,27.38
20160201,9.8,,8.97,,28.05
20160202,9.95,,9.3,,28.76
20160203,9.85,,9.31,,28.86
20160204,9.95,,10.24,,29.02
20160205,9.92,,10.3,,28.83
20160215,9.79,,10.9,,28.96
20160216,10.01,,,,30.02
20160217,10.15,,10.9,24.61,30.67
20160218,10.09,,10.64,24.89,29.85
20160219,10.04,,10.63,25.4,30.08
20160222,10.29,,11.16,25.65,30.5
20160223,10.12,,11.49,25.63,30.65
20160224,10.15,,11.41,25.4,29.71
20160225,9.67,,10.86,22.86,26.74
20160226,9.79,,11.43,21.55,26.2
20160229,9.56,,11.5,19.4,23.65
20160301,9.7,,11.97,18.99,24.33
20160302,10.1,,13.16,20.78,25.15
20160303,10.11,,12.89,20.96,24.85
20160304,10.4,,12.63,19.5,22.65
20160307,10.34,,13.1,20.27,23.02
20160308,10.28,,12.51,20.32,23.04
20160309,10.17,,11.28,19.8,23.1
20160310,10.15,,10.93,19.2,22.79
20160311,10.16,,10.88,19.35,22.15
20160314,10.26,,11.12,21.29,23.2
20160315,10.32,,10.72,22.04,23.73
20160316,10.35,,10.52,21.48,23.51
20160317,10.42,,10.89,22.53,24.98
20160318,10.54,,11.45,23.7,25.68
20160321,10.8,,11.85,24.11,27.04
20160322,10.72,,11.85,23.92,26.6
20160323,10.7,,11.8,24.01,26.33
20160324,10.52,,11.22,24.51,25.73
20160325,10.59,,10.97,24.31,26.1
20160328,10.48,,11.05,23.82,25.65
20160329,10.43,,10.97,23.0,24.88
20160330,10.7,,11.31,23.78,26.17
20160331,10.64,,11.17,23.85,25.6
20160401,10.66,,11.53,23.3,25.43
20160405,10.7,,11.65,24.18,26.1
20160406,10.72,,11.43,24.49,26.84
20160407,10.59,,11.11,23.94,25.93
20160408,10.57,,10.75,26.15,26.0
20160411,10.72,,11.02,26.57,26.5
20160412,10.67,,10.85,26.7,26.14
20160413,10.81,,11.94,26.86,27.0
20160414,10.84,,11.99,26.78,27.39
20160415,10.88,,11.86,26.95,27.76
20160418,10.73,,11.52,26.08,28.16
20160419,10.77,,11.59,26.58,27.83
20160420,10.52,,11.06,25.03,26.7
20160421,10.51,,11.24,24.63,26.98
20160422,10.55,,10.91,26.88,28.78
20160425,10.5,,10.9,26.99,28.99
20160426,10.59,,10.85,28.6,29.04
20160427,10.57,,10.71,29.11,29.36
20160428,10.66,,10.48,29.11,29.26
20160429,10.57,,10.51,29.08,28.67
20160503,10.68,,10.8,29.87,29.53
20160504,10.72,,10.68,29.57,30.5
20160505,10.72,,10.76,31.22,29.85
20160506,10.52,,10.33,32.02,28.65
20160509,10.35,,9.6,30.6,27.87
20160510,10.28,,9.53,30.7,28.29
20160511,10.37,,9.4,33.16,27.41
20160512,10.38,,9.47,33.38,28.15
20160513,10.35,,9.41,32.8,27.42
20160516,10.36,,9.68,34.6,27.97
20160517,10.3,,9.6,36.54,28.05
20160518,10.3,,9.27,35.65,27.3
20160519,10.25,,9.32,36.03,27.18
20160520,10.3,,9.44,35.47,27.06
20160523,10.28,,9.5,36.65,27.41
20160524,10.21,,9.33,36.82,27.45
20160525,10.23,,9.38,35.9,26.72
20160526,10.22,,9.57,35.1,26.03
20160527,10.27,,9.47,37.7,26.08
20160530,10.28,,9.4,39.07,25.88
20160531,10.55,,9.83,39.6,27.12
20160601,10.48,,9.97,39.0,27.16
20160602,10.46,,10.2,39.11,27.62
20160603,10.5,,10.15,40.91,28.6
20160606,10.51,,10.17,40.76,29.48
20160607,10.52,,10.42,40.37,29.03
20160608,10.5,,10.18,40.63,29.31
20160613,10.33,,10.07,38.93,27.3
20160614,10.4,,10.0,39.0,28.03
20160615,10.44,,10.29,39.96,28.73
20160616,8.57,,10.35,41.97,28.5
20160617,8.58,,10.57,41.81,28.88
20160620,8.6,,10.32,41.8,28.95
20160621,8.61,,10.09,42.23,28.52
20160622,8.73,,10.3,41.33,28.73
20160623,8.66,,10.11,41.04,28.89
20160624,8.57,,9.88,39.22,28.16
20160627,8.61,,10.11,40.01,29.24
20160628,8.63,,10.21,40.94,29.05
20160629,8.69,,10.36,40.6,28.9
20160630,8.7,,10.43,40.21,28.68
20160701,8.71,,10.56,39.52,28.5
20160704,8.81,21.99,11.62,38.87,29.05
20160705,8.81,19.79,11.73,39.11,28.69
20160706,8.79,19.8,12.11,42.84,28.22
20160707,8.78,18.82,11.91,42.83,27.94
20160708,8.74,18.75,11.72,43.38,27.7
20160711,8.75,18.27,12.01,43.24,27.39
20160712,8.88,18.12,12.31,43.33,27.7
20160713,8.99,18.32,12.38,43.48,28.25
20160714,8.94,17.96,12.15,43.93,27.95
