,ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount
0,000300.SH,20181228,3010.6536,2994.795,3024.3525,2984.8177,2990.5057,20.1479,0.6737,71053779.0,78145310.0
1,000300.SH,20181227,2990.5057,3042.9491,3047.2348,2990.5057,3002.0327,-11.527,-0.384,80541785.0,81159270.0
2,000300.SH,20181226,3002.0327,3012.869,3029.0608,2996.4829,3017.2815,-15.2488,-0.5054,55647032.0,58574969.0
3,000300.SH,20181225,3017.2815,3006.8787,3030.1418,2964.875,3038.1981,-20.9166,-0.6885,78689425.0,80413567.3
4,000300.SH,20181224,3038.1981,3015.4974,3040.3524,3007.3292,3029.3951,8.803,0.2906,57299615.0,63880740.6
5,000300.SH,20181221,3029.3951,3055.3258,3057.4007,3007.6096,3067.4169,-38.0218,-1.2395,76758101.0,84824064.8
6,000300.SH,20181220,3067.4169,3083.5441,3097.7202,3044.2929,3091.1255,-23.7086,-0.767,69749463.0,78181426.504
7,000300.SH,20181219,3091.1255,3133.7416,3137.0099,3086.7579,3128.4265,-37.301,-1.1923,55522299.0,67872922.4
8,000300.SH,20181218,3128.4265,3139.9493,3165.0018,3114.4684,3161.1966,-32.7701,-1.0366,63820319.0,72035451.4
9,000300.SH,20181217,3161.1966,3158.2844,3167.5125,3134.3653,3165.9109,-4.7143,-0.1489,66497007.0,77151490.9
10,000300.SH,20181214,3165.9109,3207.3481,3210.7221,3165.9109,3219.6924,-53.7815,-1.6704,84301250.0,91576900.5
11,000300.SH,20181213,3219.6924,3178.891,3234.0817,3169.4234,3170.6092,49.0832,1.5481,90442755.0,103375478.6
12,000300.SH,20181212,3170.6092,3181.566,3182.2107,3160.2784,3159.8158,10.7934,0.3416,53309914.0,60536223.5
13,000300.SH,20181211,3159.8158,3148.2256,3161.9557,3143.6072,3144.7631,15.0527,0.4787,53223877.0,60014969.8
14,000300.SH,20181210,3144.7631,3153.5228,3170.1523,3134.3845,3181.5646,-36.8015,-1.1567,63437273.0,73717204.7
15,000300.SH,20181207,3181.5646,3187.4919,3193.8191,3176.7061,3181.673,-0.1084,-0.0034,53361924.0,66323970.7
16,000300.SH,20181206,3181.673,3218.113,3223.5219,3179.8948,3252.0041,-70.3311,-2.1627,76328771.0,95678883.4
17,000300.SH,20181205,3252.0041,3224.2556,3266.9039,3219.9785,3267.7095,-15.7054,-0.4806,76153052.0,90909093.8
18,000300.SH,20181204,3267.7095,3256.2282,3267.94,3243.6951,3260.9502,6.7593,0.2073,79415039.0,90543600.3
19,000300.SH,20181203,3260.9502,3260.6862,3273.6397,3228.3611,3172.69,88.2602,2.7819,121487157.0,145828416.5
20,000300.SH,20181130,3172.69,3136.1962,3175.154,3132.423,3137.6542,35.0358,1.1166,70921044.0,77297697.7
21,000300.SH,20181129,3137.6542,3198.8259,3204.8565,3137.6542,3178.9326,-41.2784,-1.2985,80498466.0,86927611.9
22,000300.SH,20181128,3178.9326,3137.7477,3179.4108,3126.6179,3137.2413,41.6913,1.3289,74881955.0,77620553.1
23,000300.SH,20181127,3137.2413,3152.7743,3162.0121,3126.289,3141.2434,-4.0021,-0.1274,55407832.0,61946261.11
24,000300.SH,20181126,3141.2434,3148.6721,3169.4418,3131.636,3143.4752,-2.2318,-0.071,59379140.0,61899479.6
25,000300.SH,20181123,3143.4752,3208.593,3212.1952,3139.3857,3214.4273,-70.9521,-2.2073,84638255.0,86864946.2
26,000300.SH,20181122,3214.4273,3232.9731,3235.4524,3199.6981,3226.4918,-12.0645,-0.3739,65098291.0,70083372.6
27,000300.SH,20181121,3226.4918,3187.1025,3230.2578,3185.2393,3218.4076,8.0842,0.2512,84119726.0,87813273.9
28,000300.SH,20181120,3218.4076,3268.0768,3278.7845,3213.6833,3294.6031,-76.1955,-2.3127,109361154.0,114155066.8
29,000300.SH,20181119,3294.6031,3258.7919,3294.6031,3251.0665,3257.6735,36.9296,1.1336,115956595.0,123188777.6
30,000300.SH,20181116,3257.6735,3242.879,3282.39,3223.7215,3242.3715,15.302,0.4719,126876835.0,135379803.9
31,000300.SH,20181115,3242.3715,3201.2814,3242.3836,3198.7814,3204.9427,37.4288,1.1678,98558810.0,100119192.3
32,000300.SH,20181114,3204.9427,3233.6409,3239.2448,3200.2285,3237.3823,-32.4396,-1.002,113808659.0,105386566.0
33,000300.SH,20181113,3237.3823,3164.9222,3254.7684,3161.0979,3205.1407,32.2416,1.0059,126493464.0,125603047.3
34,000300.SH,20181112,3205.1407,3160.2465,3206.5127,3152.4399,3167.4442,37.6965,1.1901,88062391.0,97363052.0
35,000300.SH,20181109,3167.4442,3193.3039,3193.3039,3166.3106,3212.7737,-45.3295,-1.4109,84282762.0,88194192.2
36,000300.SH,20181108,3212.7737,3251.7281,3253.5735,3207.7084,3221.9101,-9.1364,-0.2836,76414540.0,85221664.7
37,000300.SH,20181107,3221.9101,3243.8775,3270.5003,3218.4219,3243.1504,-21.2403,-0.6549,91615528.0,101814919.0
38,000300.SH,20181106,3243.1504,3254.9778,3254.9778,3213.895,3262.8351,-19.6847,-0.6033,83869138.0,91703898.1
39,000300.SH,20181105,3262.8351,3269.4695,3279.8781,3230.3632,3290.2455,-27.4104,-0.8331,109706683.0,123630922.7
40,000300.SH,20181102,3290.2455,3258.6093,3290.2455,3222.4354,3177.0338,113.2117,3.5634,153466104.0,178340643.411
41,000300.SH,20181101,3177.0338,3185.202,3217.8034,3173.0992,3153.8234,23.2104,0.7359,132653379.0,145919304.3
42,000300.SH,20181031,3153.8234,3116.6582,3168.9187,3106.0279,3110.2605,43.5629,1.4006,111207455.0,117099697.8
43,000300.SH,20181030,3110.2605,3061.93,3146.6276,3050.7709,3076.8889,33.3716,1.0846,116070101.0,131767102.7
44,000300.SH,20181029,3076.8889,3157.4879,3158.8114,3062.5803,3173.635,-96.7461,-3.0484,91839789.0,108479490.2
45,000300.SH,20181026,3173.635,3204.2845,3218.1021,3151.9244,3194.3084,-20.6734,-0.6472,101299354.0,106070366.8
46,000300.SH,20181025,3194.3084,3107.8402,3197.3212,3099.8887,3188.2018,6.1066,0.1915,106951817.0,113291746.4
47,000300.SH,20181024,3188.2018,3169.4571,3245.3971,3164.293,3183.4257,4.7761,0.15,110909744.0,120954387.3
48,000300.SH,20181023,3183.4257,3273.1271,3276.0205,3163.5704,3270.2732,-86.8475,-2.6557,121013241.0,142589176.8
49,000300.SH,20181022,3270.2732,3159.5614,3297.3803,3159.5614,3134.9455,135.3277,4.3167,145862045.0,170651306.2
50,000300.SH,20181019,3134.9455,3017.7488,3137.7475,3009.4983,3044.3918,90.5537,2.9744,98839688.0,110951369.1
51,000300.SH,20181018,3044.3918,3097.7903,3097.7903,3043.3817,3118.2463,-73.8545,-2.3685,73771968.0,79703731.9
52,000300.SH,20181017,3118.2463,3140.6838,3149.1344,3062.554,3100.9738,17.2725,0.557,76837138.0,86132695.9
53,000300.SH,20181016,3100.9738,3128.5764,3166.0918,3089.3668,3126.4516,-25.4778,-0.8149,68887721.0,75206471.0
54,000300.SH,20181015,3126.4516,3173.8467,3183.1297,3120.2306,3170.7262,-44.2746,-1.3964,69605023.0,77137696.8
55,000300.SH,20181012,3170.7262,3123.3715,3184.122,3094.9657,3124.1139,46.6123,1.492,98611151.0,104423076.623
56,000300.SH,20181011,3124.1139,3179.5408,3209.5202,3099.0402,3281.5978,-157.4839,-4.799,120941342.0,125723084.5
57,000300.SH,20181010,3281.5978,3295.4288,3315.731,3256.5815,3288.6906,-7.0928,-0.2157,64492828.0,79166808.6
58,000300.SH,20181009,3288.6906,3290.1705,3309.7978,3276.1322,3290.8988,-2.2082,-0.0671,66723274.0,78372941.3
59,000300.SH,20181008,3290.8988,3361.5594,3364.4641,3285.253,3438.8649,-147.9661,-4.3028,97888989.0,114164218.4
60,000300.SH,20180928,3438.8649,3409.9598,3444.9884,3404.6973,3403.5902,35.2747,1.0364,84377756.0,94880274.572
61,000300.SH,20180927,3403.5902,3415.9532,3423.71,3394.732,3417.2413,-13.6511,-0.3995,69765241.0,87573300.8
62,000300.SH,20180926,3417.2413,3388.5576,3448.2595,3383.2352,3379.8043,37.437,1.1077,93173343.0,119113319.1
63,000300.SH,20180925,3379.8043,3375.9717,3394.3771,3367.0253,3410.4856,-30.6813,-0.8996,69054693.0,82870029.9
64,000300.SH,20180921,3410.4856,3320.6958,3410.4856,3307.767,3310.1258,100.3598,3.0319,108416005.0,123573117.9
65,000300.SH,20180920,3310.1258,3314.8758,3332.3093,3303.073,3312.4823,-2.3565,-0.0711,64561057.0,76660845.175
66,000300.SH,20180919,3312.4823,3261.997,3335.9913,3258.3097,3269.4319,43.0504,1.3168,89170666.0,109395423.8
67,000300.SH,20180918,3269.4319,3193.6423,3270.107,3193.6423,3204.9224,64.5095,2.0128,70425035.0,83899137.6
68,000300.SH,20180917,3204.9224,3224.9267,3230.7878,3200.5096,3242.0902,-37.1678,-1.1464,52259547.0,60650940.9
69,000300.SH,20180914,3242.0902,3242.8307,3254.1043,3227.9439,3236.5662,5.524,0.1707,60130640.0,76481211.956
70,000300.SH,20180913,3236.5662,3239.6852,3249.593,3191.3975,3202.0248,34.5414,1.0787,67290327.0,85887962.1
71,000300.SH,20180912,3202.0248,3216.9911,3225.6014,3194.9785,3224.2116,-22.1868,-0.6881,54627899.0,68887020.1
72,000300.SH,20180911,3224.2116,3229.7052,3245.617,3209.1121,3230.0681,-5.8565,-0.1813,58491305.0,67722118.9
73,000300.SH,20180910,3230.0681,3271.3818,3277.884,3227.8481,3277.6438,-47.5757,-1.4515,63817051.0,76175580.3
74,000300.SH,20180907,3277.6438,3273.8906,3316.6149,3253.725,3262.8808,14.763,0.4525,63947408.0,81263440.0
75,000300.SH,20180906,3262.8808,3286.6645,3311.4973,3253.7552,3298.1412,-35.2604,-1.0691,62300288.0,79373138.2
76,000300.SH,20180905,3298.1412,3349.6983,3354.1991,3298.1412,3363.8984,-65.7572,-1.9548,64301888.0,80656675.2
77,000300.SH,20180904,3363.8984,3324.186,3370.963,3307.9585,3321.8248,42.0736,1.2666,67088807.0,85892034.9
78,000300.SH,20180903,3321.8248,3320.6898,3325.607,3291.7842,3334.5036,-12.6788,-0.3802,66429855.0,81305681.5
79,000300.SH,20180831,3334.5036,3333.3801,3356.5757,3310.8726,3351.0942,-16.5906,-0.4951,76205630.0,96091892.858
