trade_date,index,ts_code,open,high,low,close,pre_close,change,pct_chg,vol,amount
20181116,0,002081.SZ,9.04,9.09,8.98,9.03,9.04,-0.01,-0.1106,50311.72,45450.289
20181115,1,002081.SZ,9.02,9.05,8.91,9.04,8.98,0.06,0.6682,47593.23,42850.725
20181114,2,002081.SZ,8.91,9.05,8.9,8.98,8.92,0.06,0.6726,83283.09,74887.216
20181113,3,002081.SZ,8.65,8.98,8.61,8.92,8.76,0.16,1.8265,119999.78,106569.157
20181112,4,002081.SZ,8.47,8.78,8.4,8.76,8.49,0.27,3.1802,103661.17,89615.901
20181109,5,002081.SZ,8.42,8.51,8.31,8.49,8.45,0.04,0.4734,74928.0,63138.569
20181108,6,002081.SZ,8.48,8.56,8.42,8.45,8.45,0.0,0.0,63300.3,53663.567
20181107,7,002081.SZ,8.55,8.62,8.43,8.45,8.59,-0.14,-1.6298,85279.21,72653.287
20181106,8,002081.SZ,8.58,8.6,8.41,8.59,8.59,0.0,0.0,59521.7,50592.264
20181105,9,002081.SZ,8.4,8.64,8.3,8.59,8.39,0.2,2.3838,133028.48,113361.387
20181102,10,002081.SZ,8.45,8.46,8.25,8.39,8.16,0.23,2.8186,128277.51,107243.532
20181101,11,002081.SZ,8.1,8.35,8.08,8.16,8.02,0.14,1.7456,141498.73,116645.304
20181031,12,002081.SZ,7.89,8.05,7.87,8.02,7.88,0.14,1.7766,104421.31,83435.668
20181030,13,002081.SZ,7.79,7.94,7.75,7.88,7.78,0.1,1.2853,66829.02,52597.443
20181029,14,002081.SZ,7.8,7.88,7.72,7.78,7.82,-0.04,-0.5115,63892.34,49846.514
20181026,15,002081.SZ,7.9,8.02,7.78,7.82,7.84,-0.02,-0.2551,48341.71,38048.886
20181025,16,002081.SZ,7.69,7.87,7.62,7.84,7.91,-0.07,-0.885,64081.61,49712.527
20181024,17,002081.SZ,7.91,8.08,7.85,7.91,7.92,-0.01,-0.1263,53957.19,42961.109
20181023,18,002081.SZ,8.11,8.15,7.84,7.92,8.13,-0.21,-2.583,100746.89,80771.07
20181022,19,002081.SZ,7.74,8.26,7.73,8.13,7.75,0.38,4.9032,149917.98,120533.164
20181019,20,002081.SZ,7.21,7.77,7.21,7.75,7.35,0.4,5.4422,146057.09,110208.767
20181018,21,002081.SZ,7.39,7.46,7.26,7.35,7.4,-0.05,-0.6757,69420.53,51222.753
20181017,22,002081.SZ,7.45,7.54,7.21,7.4,7.36,0.04,0.5435,69882.6,51595.265
20181016,23,002081.SZ,7.46,7.52,7.32,7.36,7.41,-0.05,-0.6748,62556.02,46462.459
20181015,24,002081.SZ,7.41,7.58,7.4,7.41,7.37,0.04,0.5427,76664.0,57489.064
20181012,25,002081.SZ,7.4,7.48,7.13,7.37,7.48,-0.11,-1.4706,139771.86,102808.097
20181011,26,002081.SZ,7.93,7.93,7.43,7.48,8.26,-0.78,-9.4431,222262.88,169783.8
20181010,27,002081.SZ,8.34,8.39,8.13,8.26,8.34,-0.08,-0.9592,95600.4,78937.145
20181009,28,002081.SZ,8.38,8.51,8.3,8.34,8.4,-0.06,-0.7143,99364.08,83244.847
20181008,29,002081.SZ,8.85,8.85,8.4,8.4,8.99,-0.59,-6.5628,118767.13,102132.524
20180928,30,002081.SZ,8.94,9.0,8.9,8.99,8.88,0.11,1.2387,80891.16,72469.604
20180927,31,002081.SZ,9.03,9.05,8.86,8.88,9.0,-0.12,-1.3333,63510.15,56753.314
20180926,32,002081.SZ,8.96,9.1,8.94,9.0,8.96,0.04,0.4464,70987.94,64087.32
20180925,33,002081.SZ,8.99,8.99,8.91,8.96,9.04,-0.08,-0.885,48115.8,43065.749
20180921,34,002081.SZ,8.94,9.1,8.86,9.04,8.89,0.15,1.6873,82851.1,74681.726
20180920,35,002081.SZ,8.9,8.97,8.86,8.89,8.95,-0.06,-0.6704,55717.16,49619.284
20180919,36,002081.SZ,8.69,9.02,8.68,8.95,8.73,0.22,2.52,131859.49,117191.3
