trade_date,index,ts_code,open,high,low,close,pre_close,change,pct_chg,vol,amount
20181116,0,601012.SH,17.21,17.8,17.13,17.2,17.24,-0.04,-0.232,289852.73,504323.813
20181115,1,601012.SH,17.12,17.33,17.03,17.24,17.15,0.09,0.5248,179673.07,308831.695
20181114,2,601012.SH,17.08,17.58,16.68,17.15,17.15,0.0,0.0,254333.88,435790.614
20181113,3,601012.SH,17.01,17.61,17.01,17.15,17.49,-0.34,-1.944,273499.45,472064.959
20181112,4,601012.SH,16.35,17.6,16.25,17.49,16.5,0.99,6.0,514318.69,873173.86
20181109,5,601012.SH,16.39,16.62,16.13,16.5,16.33,0.17,1.041,259760.89,425703.376
20181108,6,601012.SH,16.7,16.7,16.2,16.33,16.4,-0.07,-0.4268,294561.25,485620.149
20181107,7,601012.SH,16.8,16.98,16.27,16.4,16.92,-0.52,-3.0733,534957.95,893105.177
20181106,8,601012.SH,17.86,17.86,16.41,16.92,17.49,-0.57,-3.259,855870.77,1456966.94
20181105,9,601012.SH,17.2,17.49,17.01,17.49,15.9,1.59,10.0,445407.01,774020.097
20181102,10,601012.SH,15.0,15.9,14.95,15.9,14.45,1.45,10.0346,715562.8,1106871.185
20181101,11,601012.SH,13.68,14.91,13.61,14.45,13.55,0.9,6.6421,502951.27,724055.613
20181031,12,601012.SH,12.83,13.73,12.83,13.55,12.9,0.65,5.0388,252578.68,338702.637
20181030,13,601012.SH,13.36,13.49,12.78,12.9,13.43,-0.53,-3.9464,177247.33,232155.632
20181029,14,601012.SH,13.47,13.54,13.17,13.43,13.48,-0.05,-0.3709,78787.99,105538.717
20181026,15,601012.SH,13.87,13.87,13.33,13.48,13.45,0.03,0.223,101351.58,137035.627
20181025,16,601012.SH,13.08,13.63,13.05,13.45,13.54,-0.09,-0.6647,106064.44,141318.41
20181024,17,601012.SH,13.41,13.76,13.1,13.54,13.52,0.02,0.1479,153108.79,205902.236
20181023,18,601012.SH,13.95,13.96,13.35,13.52,13.95,-0.43,-3.0824,194424.22,264206.492
20181022,19,601012.SH,13.5,14.15,13.3,13.95,13.2,0.75,5.6818,299135.44,412231.823
20181019,20,601012.SH,12.7,13.25,12.38,13.2,12.76,0.44,3.4483,206276.16,267891.0
20181018,21,601012.SH,13.05,13.16,12.54,12.76,13.2,-0.44,-3.3333,179863.25,230744.734
20181017,22,601012.SH,13.05,13.27,12.89,13.2,12.83,0.37,2.8839,175944.05,230425.978
20181016,23,601012.SH,13.09,13.48,12.76,12.83,13.15,-0.32,-2.4335,187058.96,245048.879
20181015,24,601012.SH,13.49,13.79,13.09,13.15,13.26,-0.11,-0.8296,180245.64,243063.974
20181012,25,601012.SH,12.98,13.41,12.64,13.26,13.03,0.23,1.7652,215932.65,283086.884
20181011,26,601012.SH,12.8,13.22,12.65,13.03,13.44,-0.41,-3.0506,296086.59,383760.217
20181010,27,601012.SH,14.11,14.35,13.13,13.44,13.98,-0.54,-3.8627,270862.25,372166.65
20181009,28,601012.SH,13.75,14.23,13.66,13.98,13.76,0.22,1.5988,254086.25,354888.534
20181008,29,601012.SH,13.8,13.98,13.66,13.76,14.2,-0.44,-3.0986,220385.58,304538.561
20180928,30,601012.SH,13.73,14.23,13.55,14.2,13.56,0.64,4.7198,355701.08,496590.433
20180927,31,601012.SH,13.6,13.85,13.38,13.56,13.66,-0.1,-0.7321,228973.04,311784.334
20180926,32,601012.SH,13.04,13.93,12.98,13.66,12.93,0.73,5.6458,460321.93,620707.172
20180925,33,601012.SH,12.74,13.1,12.63,12.93,12.83,0.1,0.7794,193219.32,249566.536
20180921,34,601012.SH,12.78,12.86,12.34,12.83,12.7,0.13,1.0236,205581.48,259595.946
20180920,35,601012.SH,12.69,13.02,12.64,12.7,12.76,-0.06,-0.4702,163661.38,209271.79
20180919,36,601012.SH,12.6,12.95,12.3,12.76,12.75,0.01,0.0784,224228.78,282971.76
20180918,37,601012.SH,12.76,12.78,12.1,12.75,12.76,-0.01,-0.0784,198706.32,247423.339
20180917,38,601012.SH,12.75,12.87,12.4,12.76,12.79,-0.03,-0.2346,125818.17,158908.305
20180914,39,601012.SH,12.57,13.0,12.54,12.79,12.52,0.27,2.1565,191929.58,246524.698
20180913,40,601012.SH,12.95,13.06,12.13,12.52,12.81,-0.29,-2.2639,199734.43,251009.039
20180912,41,601012.SH,12.8,12.92,12.67,12.81,12.74,0.07,0.5495,115314.71,147696.478
20180911,42,601012.SH,12.81,12.97,12.6,12.74,12.8,-0.06,-0.4688,137628.02,175764.71
20180910,43,601012.SH,13.36,13.43,12.8,12.8,13.45,-0.65,-4.8327,171009.42,221785.263
